State,City,Scale_of_Operation,Monthly_Production_Tons,Machine_Utilization_Pct,Skilled_Labor_Pct,Transport_Cost_Rs_per_Ton,Quality_Rejection_Rate_Pct,Avg_Selling_Price_Rs_sqm,Net_Profit_Margin_Pct,Profitability_Class
Andhra Pradesh,Guntur,Small,1607.91,70.36,62.78,970.99,9.93,2275.39,10.706,Medium
Rajasthan,Jaipur,Large,5471.84,74.96,58.31,1737.69,5.35,2033.99,21.046,High
Telangana,Warangal,Small,1451.63,84.03,66.61,,5.53,1835.14,9.871,Medium
Karnataka,Hassan,Large,5124.8,69.94,60.97,2375.82,5.89,2189.63,17.109,High
Telangana,Khammam,Small,1266.55,71.54,39.92,1697.28,10.86,1316.73,1.5,Low
Rajasthan,Kishangarh,Medium,2852.91,63.64,40.99,1778.87,7.3,1614.03,13.173,Medium
Tamil Nadu,Madurai,Small,1535.56,83.54,49.34,1890.25,2.26,2304.31,16.771,High
Rajasthan,Jaipur,Medium,2306.23,71.67,59.86,1335.81,7.13,2045.84,15.512,Medium
Tamil Nadu,Dharmapuri,Small,1367.62,92.71,57.03,2185.98,7.44,2277.55,14.181,Medium
Rajasthan,Kishangarh,Large,4702.92,80.23,67.56,2090.75,6.98,2425.89,17.233,Low
Karnataka,Ramanagara,Medium,2876.2,90.28,64.82,1007.53,7.74,2309.13,17.108,High
Telangana,Khammam,Small,4064.453617407901,77.35,56.43,1739.04,8.04,1941.46,7.348,Low
Karnataka,Hassan,Medium,2861.55,64.35,80.76,1546.92,5.25,2571.98,20.068,High
Gujarat,Ahmedabad,Medium,2189.05,80.1,65.21,1070.44,7.67,1943.29,7.912,Low
Karnataka,Bengaluru,Small,1499.36,88.62,44.93,1161.54,9.65,2247.9,12.887,Medium
Rajasthan,Jaipur,Small,2616.26,60.44,39.92,1769.84,6.74,2154.34,9.404,Medium
Rajasthan,Udaipur,Medium,2567.39,71.96,58.97,2281.0,5.95,1964.22,15.653,Medium
Gujarat,Surat,Small,1257.09,75.03,52.89,1039.71,6.68,1741.46,5.498,Low
Tamil Nadu,Madurai,Small,2172.22,78.63,38.18,1077.7,8.08,2651.94,10.528,Medium
Rajasthan,Kishangarh,Small,1571.58,89.33,45.07,2819.31,10.77,2392.46,15.692,Medium
Andhra Pradesh,Nellore,Medium,2123.42,90.23,42.86,714.13,9.41,1899.75,13.082,Medium
Tamil Nadu,Madurai,Medium,3147.47,85.15,51.81,1744.49,6.93,2402.73,15.209,Medium
Andhra Pradesh,Nellore,Small,1774.55,78.25,75.84,2420.48,3.77,2103.95,13.782,Medium
Tamil Nadu,Salem,Large,5578.98,75.39,87.69,1020.69,3.78,2526.06,23.092,High
Rajasthan,Kishangarh,Large,5206.66,52.03,78.24,2859.65,0.5,2270.26,19.079,High
Karnataka,Chitradurga,Small,2102.09,94.45,76.77,1605.18,7.44,2724.29,21.331,High
Tamil Nadu,Chennai,Small,1962.23,39.97,49.59,2069.42,6.59,2155.12,6.409,Low
Tamil Nadu,Salem,Large,5789.14,98.0,75.88,1456.76,4.33,2303.29,27.281,High
Rajasthan,Kishangarh,Medium,1981.94,88.8,63.86,2227.09,10.01,1712.11,13.296,Medium
Andhra Pradesh,Ongole,Small,1980.59,98.0,69.29,2416.0,4.74,1799.21,11.872,Medium
Tamil Nadu,Madurai,Medium,2961.95,75.21,73.28,1149.9,6.16,2853.97,17.831,High
Tamil Nadu,Madurai,Medium,2948.7,77.6,46.44,1482.95,9.12,2459.75,15.013,Medium
Tamil Nadu,Chennai,Small,1749.98,73.33,39.63,2156.09,9.26,2539.69,12.258,Medium
Andhra Pradesh,Guntur,Medium,2864.11,73.44,47.06,1301.1,8.76,2053.09,10.697,Medium
Telangana,Karimnagar,Medium,2571.7,64.87,63.85,1566.66,9.27,2160.11,8.23,Medium
Tamil Nadu,Madurai,Medium,2974.46,70.36,44.98,1769.16,4.02,2390.47,15.581,Medium
Karnataka,Chitradurga,Large,5251.03,76.06,67.28,1432.53,5.5,2105.17,17.059,High
Telangana,Hyderabad,Small,1142.16,75.59,21.44,1962.97,13.36,1878.49,1.5,Low
Tamil Nadu,Dharmapuri,Medium,3230.91,73.85,85.91,1962.44,5.51,2974.03,22.415,High
Telangana,Nizamabad,Medium,2356.39,68.86,36.28,2002.88,5.44,1691.23,6.007,Low
Tamil Nadu,Krishnagiri,Medium,3136.1,70.44,44.3,1596.24,7.48,2317.5,16.603,High
Karnataka,Hassan,Small,1556.41,66.4,42.79,1882.11,17.18,1904.3,10.141,Medium
Rajasthan,Udaipur,Small,1826.12,80.54,73.11,2389.03,6.5,2166.27,14.211,Medium
Telangana,Karimnagar,Small,1009.52,82.76,65.27,1382.18,6.83,1596.88,10.353,Medium
Andhra Pradesh,Kurnool,Small,1569.04,77.69,42.26,1757.98,8.96,1806.9,8.913,Medium
Karnataka,Mysuru,Small,1245.89,65.81,48.13,2495.73,6.7,2007.26,9.322,Medium
Rajasthan,Makrana,Medium,2498.36,82.62,55.71,2289.65,5.96,2242.45,16.85,High
Gujarat,Bhavnagar,Small,1152.9,67.42,53.14,1057.39,2.64,1634.72,8.804,Medium
Karnataka,Chitradurga,Medium,2644.61,62.72,45.69,2004.95,3.81,2226.32,13.533,Medium
Gujarat,Vadodara,Small,947.91,71.33,62.86,2277.32,6.26,1622.33,6.078,Low
Karnataka,Bengaluru,Small,1574.81,90.57,53.28,967.34,4.99,1615.9,18.431,High
Andhra Pradesh,Kadapa,Small,1468.75,64.0,70.62,2012.81,8.82,1821.76,5.856,Low
Andhra Pradesh,Guntur,Small,1826.52,57.02,58.75,1499.42,9.78,1717.35,10.331,Medium
Tamil Nadu,Madurai,Medium,2896.08,50.48,62.15,1602.94,7.02,2103.18,14.455,Medium
Karnataka,Mysuru,Small,1480.93,75.58,45.7,2582.14,6.75,2266.26,9.583,Medium
Tamil Nadu,Krishnagiri,Large,6169.95,73.96,78.96,2411.62,3.51,2194.89,21.668,High
Karnataka,Bengaluru,Large,4917.07,79.39,80.42,2049.09,6.03,1784.5,20.607,High
Tamil Nadu,Krishnagiri,Medium,2993.93,77.7,43.95,1549.71,6.37,2360.16,17.697,High
Gujarat,Vadodara,Medium,2762.95,82.9,92.0,1213.35,0.95,2143.52,19.005,High
Andhra Pradesh,Ongole,Small,1051.9,73.43,45.93,1383.85,11.28,1721.82,6.348,Low
Telangana,Hyderabad,Medium,2979.73,64.61,46.97,1836.57,0.5,2018.85,9.587,Medium
Karnataka,Hassan,Medium,3013.89,78.69,74.11,1762.85,9.53,2445.12,13.95,Medium
Karnataka,Hassan,Small,1225.02,84.12,51.38,2371.45,4.8,2352.88,12.835,Medium
Telangana,Khammam,Small,1615.28,66.19,30.58,1537.36,7.43,1355.19,4.463,Low
Telangana,Warangal,Small,1253.38,72.57,69.27,1953.02,7.67,1919.0,11.362,Medium
Tamil Nadu,Krishnagiri,Medium,3830.24,58.25,84.61,1948.84,8.65,2495.9,13.783,Medium
Telangana,Hyderabad,Medium,2347.53,57.93,45.12,2432.6,5.62,1842.38,8.786,High
Telangana,Hyderabad,Small,1462.86,53.12,68.48,2245.23,5.88,2199.91,8.597,Medium
Karnataka,Hassan,Medium,2900.85,73.53,52.58,2139.22,,2176.54,11.262,Medium
Telangana,Hyderabad,Medium,2489.17,81.51,26.38,2142.7,8.97,1660.57,4.133,Low
Tamil Nadu,Dharmapuri,Medium,3176.41,55.56,66.65,818.54,9.62,2507.65,15.971,Medium
Rajasthan,Makrana,Small,2049.38,76.59,20.52,1526.68,15.07,1663.45,8.408,Medium
Tamil Nadu,Krishnagiri,Medium,3354.26,76.64,46.17,1666.26,6.59,2230.3,12.126,Medium
Gujarat,Bhavnagar,Medium,2291.72,71.89,52.46,1924.22,7.39,1716.68,11.731,Low
Tamil Nadu,Chennai,Medium,3216.46,89.42,51.79,2299.93,6.25,2546.53,21.043,High
Karnataka,Ramanagara,Medium,2861.25,61.18,73.55,1619.1,8.82,2597.73,15.544,Medium
Karnataka,Hassan,Medium,2994.39,67.02,55.89,2295.44,4.26,2593.56,12.748,Low
Gujarat,Vadodara,Small,1550.93,43.38,68.7,922.65,5.8,1743.58,7.613,Low
Rajasthan,Udaipur,Medium,2513.49,75.9,61.38,1374.2,7.66,2131.56,11.498,Medium
Rajasthan,Kishangarh,Large,4854.99,73.71,51.93,1305.62,5.01,1946.07,16.272,High
Tamil Nadu,Madurai,Medium,3531.87,49.2,58.47,1741.72,5.76,2430.23,15.714,Medium
Tamil Nadu,Madurai,Small,1401.74,81.37,87.07,1859.25,4.43,2534.85,18.901,High
Andhra Pradesh,Kurnool,Small,1924.61,73.92,41.9,1074.8,4.79,1901.27,8.107,Medium
Andhra Pradesh,Ongole,Large,4765.34,75.32,51.47,1539.86,0.8,1896.64,18.921,High
Gujarat,Surat,Small,924.01,81.82,45.46,2008.17,,1089.6,4.571,Low
Tamil Nadu,Madurai,Small,1881.61,62.72,27.55,1000.03,6.44,1835.65,8.977,Medium
Karnataka,Hassan,Small,1416.79,80.21,59.55,1304.65,10.17,1989.06,11.765,Medium
Karnataka,Chitradurga,Large,5204.51,94.66,49.17,1724.15,12.47,2474.74,18.661,High
Gujarat,Surat,Small,1589.23,67.11,57.37,1076.73,10.95,1905.65,1.5,Low
Tamil Nadu,Chennai,Medium,3608.03,74.61,53.38,1704.8,7.0,2382.53,18.168,High
Tamil Nadu,Krishnagiri,Medium,2713.3,93.8,65.02,1023.87,5.04,2462.54,22.028,High
Rajasthan,Makrana,Small,2216.76,62.54,45.6,2760.73,4.18,1832.97,8.317,Medium
Andhra Pradesh,Kurnool,Large,4976.65,82.95,73.25,1840.75,7.26,1863.99,18.226,High
Tamil Nadu,Chennai,Medium,3527.61,72.68,48.15,1695.65,10.94,2295.35,13.705,Medium
Andhra Pradesh,Kurnool,Medium,2712.2,91.24,55.44,1825.88,3.33,1859.1,17.06,High
Karnataka,Ramanagara,Large,4762.36,78.93,56.2,2194.69,6.29,2640.95,18.077,High
Tamil Nadu,Madurai,Large,5234.45,87.93,71.15,1791.86,5.93,2810.73,25.363,High
Telangana,Hyderabad,Medium,2036.44,54.73,58.5,1378.68,6.96,2166.81,8.253,Medium
Rajasthan,Kishangarh,Small,1675.4,50.33,69.57,2642.24,6.68,2011.91,10.279,Medium
Karnataka,Mysuru,Large,5577.02,65.49,66.4,2250.72,9.88,2282.93,16.761,High
Telangana,Hyderabad,Medium,2476.11,69.0,42.5,2220.79,7.3,2091.15,7.778,Low
Gujarat,Rajkot,Large,3662.81,69.29,69.28,2376.1,8.78,1486.48,9.254,Medium
Karnataka,Chitradurga,Large,5029.97,88.27,92.0,1447.01,6.87,2469.6,25.425,High
Andhra Pradesh,Ongole,Small,1415.13,68.54,60.44,1818.25,8.51,1751.73,7.427,Low
Andhra Pradesh,Guntur,Large,4641.97,76.97,48.71,2160.79,4.3,1860.46,16.62,High
Rajasthan,Kishangarh,Small,1268.24,78.62,50.12,3035.02,7.1,2451.29,12.778,Medium
Tamil Nadu,Krishnagiri,Medium,3352.65,63.22,48.69,1959.91,7.49,2538.58,14.573,Medium
Rajasthan,Makrana,Small,1966.65,73.4,44.65,,12.72,2002.98,5.276,Low
Andhra Pradesh,Kurnool,Large,4722.54,95.02,64.99,2037.79,4.9,2011.22,18.086,High
Telangana,Hyderabad,Medium,2432.13,79.07,55.85,2342.03,8.86,1145.73,10.447,Medium
Rajasthan,Jaipur,Medium,3131.57,79.48,43.78,2990.9,3.65,2130.3,14.37,Medium
Rajasthan,Kishangarh,Large,4967.97,82.83,53.07,1823.11,0.74,2160.31,19.273,High
Gujarat,Surat,Medium,2669.38,95.19,56.84,2346.75,4.9,1640.56,14.602,Medium
Tamil Nadu,Krishnagiri,Medium,3093.74,63.79,50.01,1216.4,0.92,2399.1,19.092,High
Andhra Pradesh,Guntur,Large,4471.56,98.0,60.83,1734.77,8.09,1960.77,20.037,High
Telangana,Khammam,Medium,2254.71,88.37,50.52,2028.89,8.5,1705.55,9.872,Medium
Karnataka,Hassan,Large,5069.41,96.19,78.34,2176.87,10.45,2325.66,26.322,High
Tamil Nadu,Krishnagiri,Large,5657.06,96.75,62.79,1175.76,6.95,2463.33,24.503,High
Rajasthan,Kishangarh,Small,1434.2,86.8,63.64,1844.3,12.02,2208.48,13.261,Medium
Andhra Pradesh,Kadapa,Medium,1690.86,57.41,55.26,2110.01,11.88,1728.31,6.825,High
Gujarat,Ahmedabad,Small,1009.32,61.9,20.0,1445.42,6.3,1262.68,1.5,Low
Andhra Pradesh,Kurnool,Medium,2280.38,81.68,50.25,1715.53,2.83,2075.08,12.679,Medium
Andhra Pradesh,Kurnool,Small,1279.35,83.02,53.56,2027.62,9.5,1447.64,8.839,Medium
Rajasthan,Makrana,Medium,3491.16,86.8,48.36,2762.98,4.66,1898.4,16.576,High
Andhra Pradesh,Ongole,Small,1263.49,75.97,52.32,2066.38,7.38,1906.32,4.906,Low
Gujarat,Vadodara,Small,1290.61,56.33,61.8,1748.95,3.71,1783.68,5.988,Low
Tamil Nadu,Chennai,Small,1872.16,72.41,74.77,1525.18,8.39,2554.6,17.554,High
Andhra Pradesh,Guntur,Small,1524.18,86.15,70.04,1001.71,7.14,1977.08,11.284,Medium
Andhra Pradesh,Nellore,Medium,2616.97,65.84,56.54,1388.21,5.72,2073.09,12.159,Medium
Andhra Pradesh,Kadapa,Small,1754.88,74.51,58.93,1810.88,8.43,1945.6,9.188,Medium
Tamil Nadu,Dharmapuri,Small,1882.31,76.63,54.11,1014.11,8.84,2495.15,14.131,Medium
Andhra Pradesh,Kurnool,Small,1555.61,69.04,35.42,2060.85,10.78,2037.0,3.34,Low
Rajasthan,Udaipur,Medium,2902.02,70.44,75.2,1853.02,4.17,2112.67,17.8,High
Karnataka,Bengaluru,Large,5350.36,98.0,83.49,2350.78,6.63,2395.19,23.257,High
Tamil Nadu,Dharmapuri,Small,1844.5,89.15,23.0,1756.05,8.3,2026.08,10.784,Medium
Andhra Pradesh,Ongole,Medium,2546.04,87.39,49.39,1974.81,3.61,2167.48,16.309,High
Tamil Nadu,Chennai,Medium,3348.09,81.78,80.39,1171.18,6.74,2444.11,20.025,High
Tamil Nadu,Dharmapuri,Small,1326.88,62.12,54.39,1086.05,7.87,2418.97,13.795,Medium
Tamil Nadu,Chennai,Medium,2978.45,88.6,38.14,1129.33,8.44,2464.87,14.616,Medium
Rajasthan,Udaipur,Small,1583.36,85.65,63.11,1719.22,5.97,1991.71,16.522,High
Karnataka,Bengaluru,Medium,3383.99,69.05,55.34,2364.76,,1877.96,13.062,Medium
Rajasthan,Udaipur,Small,1200.91,63.48,69.01,2699.06,4.94,1922.99,9.369,Medium
Rajasthan,Udaipur,Large,4873.58,84.06,71.09,1897.02,7.97,2585.73,20.423,High
Rajasthan,Makrana,Small,2036.26,89.63,22.87,2565.14,10.19,1746.04,7.762,Low
Tamil Nadu,Krishnagiri,Medium,3010.74,68.4,79.46,2146.6,7.04,2805.07,22.207,High
Telangana,Nizamabad,Large,3618.35,85.1,47.65,2131.73,1.23,1623.39,14.101,Medium
Telangana,Khammam,Small,1963.8,64.01,47.81,1561.11,7.62,1738.86,6.344,Low
Telangana,Hyderabad,Medium,2118.6,58.93,76.17,2151.01,2.36,2257.17,11.768,Medium
Karnataka,Chitradurga,Small,1385.18,73.78,81.18,1758.26,4.68,2436.81,15.668,Medium
Karnataka,Bengaluru,Medium,2700.27,63.05,47.86,2283.51,8.25,2227.46,14.506,Medium
Telangana,Nizamabad,Small,1671.54,78.62,58.23,1166.16,4.61,1774.11,10.642,Medium
Karnataka,Bengaluru,Small,2037.1,54.95,34.04,2268.85,7.15,1712.23,5.245,Low
Telangana,Warangal,Medium,2893.68,63.39,61.05,2229.55,4.09,1435.07,7.58,Low
Tamil Nadu,Krishnagiri,Medium,3069.29,81.08,72.0,1965.73,3.7,2727.83,23.702,High
Tamil Nadu,Krishnagiri,Medium,2711.3,85.28,62.21,1362.1,3.58,2650.43,20.412,High
Tamil Nadu,Madurai,Small,1555.39,73.92,75.44,1317.56,3.25,2900.09,19.339,High
Andhra Pradesh,Kadapa,Small,1615.94,69.22,34.2,2279.22,5.06,1451.91,6.842,Low
Gujarat,Bhavnagar,Medium,2107.02,71.94,39.45,1566.98,6.93,1308.78,6.089,Low
Rajasthan,Jaipur,Medium,3202.2,71.74,43.94,1623.35,4.99,2051.94,13.306,Medium
Gujarat,Rajkot,Small,850.41,98.0,37.77,832.46,7.77,1434.78,7.262,Low
Telangana,Warangal,Small,1100.93,78.84,69.81,2063.68,0.5,1990.27,10.536,Medium
Karnataka,Ramanagara,Small,1397.19,66.36,44.37,1969.91,6.44,1830.81,9.156,Medium
Rajasthan,Jodhpur,Small,1570.26,76.14,37.7,1606.27,14.76,2042.89,7.211,Low
Rajasthan,Jaipur,Small,1552.42,56.15,56.19,2325.27,5.93,2040.64,4.958,Low
Telangana,Khammam,Small,984.4,51.28,33.77,1698.7,12.18,1705.29,1.817,Low
Rajasthan,Udaipur,Medium,3217.78,94.38,48.28,1487.93,5.05,2215.79,16.037,High
Telangana,Nizamabad,Medium,2695.21,75.76,76.0,1790.51,5.73,1654.27,15.696,Medium
Rajasthan,Jodhpur,Small,1393.59,73.62,72.29,2391.84,10.45,2253.51,13.675,Medium
Rajasthan,Kishangarh,Small,1181.97,71.9,61.9,2321.33,6.71,1920.85,11.234,Medium
Tamil Nadu,Chennai,Small,1818.25,71.34,43.17,1824.74,9.71,2500.71,6.666,Low
Rajasthan,Jodhpur,Medium,2299.38,69.36,50.85,2253.13,5.24,1745.21,14.189,Medium
Gujarat,Surat,Large,4040.65,91.77,70.76,1100.01,4.05,1687.98,18.247,High
Tamil Nadu,Chennai,Medium,3043.13,79.62,67.31,1928.29,6.86,2728.35,16.49,High
Telangana,Hyderabad,Medium,2716.01,68.27,54.5,1590.75,3.71,1702.0,12.976,Medium
Rajasthan,Makrana,Large,4943.46,64.06,80.52,2540.05,6.47,1991.56,13.167,Medium
Telangana,Warangal,Small,983.03,63.73,24.62,2220.18,3.81,2016.19,3.723,Low
Tamil Nadu,Dharmapuri,Small,1467.01,85.92,47.43,1412.83,8.38,2204.25,16.674,High
Tamil Nadu,Dharmapuri,Medium,3422.24,92.75,87.17,930.21,8.01,2946.93,24.674,High
Karnataka,Chitradurga,Small,2275.15,61.36,51.37,1414.95,8.15,2040.73,11.018,Medium
Tamil Nadu,Madurai,Medium,2439.68,68.19,50.87,2129.66,7.9,2402.24,13.763,Medium
Andhra Pradesh,Kadapa,Medium,3054.29,68.51,67.96,1603.0,3.65,2499.16,14.943,Medium
Gujarat,Vadodara,Medium,2312.92,97.35,45.35,934.92,1.69,1339.63,16.295,High
Andhra Pradesh,Ongole,Small,2014.81,72.93,23.48,1437.57,9.4,1507.22,1.5,Low
Tamil Nadu,Krishnagiri,Medium,2916.91,61.34,92.0,2317.91,7.08,2663.14,18.893,High
Tamil Nadu,Salem,Medium,3275.0,74.15,45.93,2272.16,9.0,2773.17,14.606,Medium
Rajasthan,Makrana,Large,4677.21,74.96,71.42,1875.52,4.99,2248.11,20.38,High
Telangana,Nizamabad,Medium,2954.03,81.78,63.25,2457.9,1.16,1628.65,10.075,Medium
Karnataka,Bengaluru,Large,5992.54,98.0,71.43,1675.74,9.27,2407.57,23.942,High
Gujarat,Vadodara,Small,1110.19,72.46,40.76,1510.13,8.1,2014.53,3.713,Low
Rajasthan,Kishangarh,Medium,2541.49,85.44,20.0,996.09,9.13,1685.17,13.113,Medium
Tamil Nadu,Madurai,Small,2138.76,59.12,35.1,1747.39,12.06,2419.29,7.395,Low
Tamil Nadu,Madurai,Small,1841.54,98.0,51.18,1864.54,9.85,2518.08,11.79,Medium
Tamil Nadu,Chennai,Large,5621.74,66.19,66.2,825.6,6.91,2611.42,19.268,Low
Rajasthan,Makrana,Large,5313.14,86.32,86.2,1834.84,0.57,2811.54,24.469,High
Andhra Pradesh,Kadapa,Small,874.19,78.59,43.7,1985.6,6.2,2088.83,10.26,Medium
Andhra Pradesh,Kurnool,Small,1086.42,61.24,57.17,2159.15,10.86,1810.33,4.79,Low
Rajasthan,Jaipur,Small,1604.13,77.39,43.67,2342.52,7.76,1783.64,10.672,Medium
Rajasthan,Makrana,Large,4477.31,76.55,57.37,2191.05,7.05,1938.01,15.242,Medium
Tamil Nadu,Madurai,Small,1532.4,58.72,76.8,1367.63,8.82,2555.13,15.48,Medium
Andhra Pradesh,Guntur,Small,1827.73,78.02,39.69,1468.66,11.04,1946.31,8.819,Medium
Tamil Nadu,Madurai,Small,1937.88,54.42,46.58,1325.07,3.74,2467.21,13.342,Medium
Tamil Nadu,Madurai,Medium,2653.04,68.64,76.6,1854.68,0.5,3017.11,19.811,High
Tamil Nadu,Salem,Large,5433.39,71.83,87.38,1794.61,5.1,2428.5,23.082,High
Tamil Nadu,Madurai,Small,1993.75,71.48,61.12,1352.12,8.55,2630.39,13.156,Medium
Rajasthan,Makrana,Medium,3011.36,51.28,69.98,2345.21,3.48,2713.02,15.367,Medium
Tamil Nadu,Dharmapuri,Small,1865.86,53.02,37.49,986.83,8.86,2347.39,9.957,Medium
Karnataka,Ramanagara,Medium,2886.25,65.1,59.93,2201.14,0.94,2292.94,17.862,High
Gujarat,Rajkot,Medium,2262.0,70.15,50.75,2111.73,1.23,1967.4,7.171,Medium
Andhra Pradesh,Kadapa,Small,1099.2,67.02,49.32,2179.4,6.33,1886.24,7.314,Low
Gujarat,Surat,Small,1374.75,73.86,53.33,1440.74,9.53,2030.39,7.982,Medium
Gujarat,Rajkot,Large,3836.31,89.4,53.57,1362.5,5.58,1228.48,14.227,Medium
Telangana,Khammam,Small,926.73,68.89,33.57,2042.02,11.68,1404.05,1.5,Low
Rajasthan,Kishangarh,Medium,3321.76,91.05,62.55,2309.98,7.62,2220.57,16.736,High
Gujarat,Surat,Small,1446.96,64.2,60.02,1257.68,13.78,1622.8,5.624,Low
Andhra Pradesh,Ongole,Small,1172.94,98.0,20.0,2368.16,5.59,1522.25,8.526,Medium
Rajasthan,Makrana,Medium,2829.4,69.44,53.47,2184.91,3.35,2196.02,15.736,Medium
Karnataka,Hassan,Large,4810.67,68.88,65.56,1141.25,8.71,1742.59,17.237,High
Tamil Nadu,Salem,Medium,3002.45,89.99,69.87,2059.58,5.95,2780.81,20.015,High
Tamil Nadu,Madurai,Small,1574.67,61.45,34.91,1156.47,9.09,2212.92,12.226,Medium
Rajasthan,Makrana,Medium,2516.16,81.48,64.43,2850.04,0.87,2250.8,13.423,Medium
Tamil Nadu,Krishnagiri,Medium,3047.99,76.67,55.13,1375.56,5.68,2183.26,21.424,High
Tamil Nadu,Madurai,Medium,2972.66,69.54,68.26,1465.55,7.66,2855.09,15.369,Medium
Andhra Pradesh,Nellore,Medium,2973.03,59.98,53.81,1782.9,3.83,1708.42,10.407,Medium
Rajasthan,Makrana,Small,769.6,77.99,55.86,2082.71,8.92,1599.91,8.1,Medium
Andhra Pradesh,Ongole,Medium,2653.11,81.0,69.4,2022.28,6.07,1849.41,14.369,Medium
Andhra Pradesh,Nellore,Medium,2504.74,78.97,45.32,1683.92,8.07,1790.82,11.095,Medium
Karnataka,Hassan,Small,1757.37,93.76,49.02,1415.14,5.22,2112.1,16.017,High
Karnataka,Bengaluru,Medium,3038.52,59.96,69.65,2053.61,0.5,2268.55,16.976,High
Karnataka,Hassan,Small,1703.76,73.15,44.35,2339.65,9.41,1817.18,8.149,Medium
Tamil Nadu,Dharmapuri,Small,1846.88,90.16,56.14,1263.55,9.79,2488.87,15.955,Medium
Rajasthan,Makrana,Large,4603.47,70.14,68.27,2173.34,11.37,1842.58,17.406,High
Andhra Pradesh,Kadapa,Small,1357.83,83.57,72.02,1388.6,7.79,1879.95,11.314,Medium
Gujarat,Vadodara,Small,1374.48,72.44,58.98,1240.79,5.72,1730.39,8.052,Medium
Gujarat,Vadodara,Medium,2226.27,80.3,69.47,2074.63,6.04,1677.79,11.085,Medium
Tamil Nadu,Krishnagiri,Large,5549.85,73.28,60.27,2570.71,5.76,2861.27,21.523,High
Rajasthan,Udaipur,Large,4577.06,65.56,61.81,2541.19,4.85,2326.06,17.179,High
Andhra Pradesh,Guntur,Medium,2458.64,70.99,62.2,2205.55,5.88,1951.37,13.455,Medium
Karnataka,Chitradurga,Small,1837.05,69.55,41.16,1061.68,15.94,2012.55,6.119,Low
Andhra Pradesh,Ongole,Large,4962.84,90.9,88.76,1348.42,7.82,1841.47,20.546,High
Gujarat,Surat,Medium,2627.5,82.33,75.68,1474.56,0.96,2534.16,15.291,Medium
Gujarat,Ahmedabad,Small,1017.03,77.9,54.42,2216.33,5.85,1588.6,8.312,Medium
Gujarat,Bhavnagar,Large,3053.5,97.79,62.98,2245.52,2.96,1744.8,16.598,High
Karnataka,Mysuru,Small,1834.29,70.83,57.46,1605.1,5.6,2276.81,13.051,Medium
Andhra Pradesh,Nellore,Small,1164.38,71.8,38.08,2518.72,7.84,1601.61,7.42,Low
Tamil Nadu,Madurai,Large,5460.18,91.94,50.5,2308.15,5.29,2502.01,23.596,High
Andhra Pradesh,Kurnool,Medium,2489.46,72.69,48.34,1115.33,5.56,1902.36,10.193,Medium
Tamil Nadu,Chennai,Small,2038.56,79.15,43.18,1445.7,8.27,2016.81,11.093,Medium
Karnataka,Hassan,Small,1855.09,71.4,44.4,1410.78,10.95,2313.93,11.626,Medium
Tamil Nadu,Madurai,Medium,3642.16,87.09,37.02,,10.41,2454.32,12.509,Medium
Telangana,Khammam,Small,1824.99,72.86,44.67,1605.57,8.39,1734.42,7.046,Low
Karnataka,Hassan,Small,1476.88,95.25,45.59,2348.97,8.62,2068.67,13.007,Medium
Tamil Nadu,Chennai,Medium,2591.31,74.31,64.09,2116.15,9.7,2022.51,16.455,High
Rajasthan,Makrana,Large,4868.92,98.0,67.71,1919.74,1.55,2334.96,21.449,High
Andhra Pradesh,Kurnool,Medium,3170.59,67.87,72.37,2508.89,5.93,1764.68,11.904,Medium
Tamil Nadu,Madurai,Medium,3114.8,91.43,73.31,1282.72,5.32,2673.39,19.773,High
Tamil Nadu,Madurai,Medium,3979.11,78.45,92.0,1202.0,3.55,3058.37,23.476,High
Andhra Pradesh,Guntur,Medium,2386.16,72.95,37.69,1977.5,2.68,2280.77,12.204,Medium
Gujarat,Rajkot,Small,1900.16,53.35,69.87,1230.12,6.09,1959.75,6.144,Low
Gujarat,Ahmedabad,Large,3949.4,84.66,42.01,1006.6,6.34,2102.19,14.261,Medium
Andhra Pradesh,Guntur,Medium,2358.84,60.38,69.75,989.55,8.42,1797.62,11.093,Medium
Rajasthan,Udaipur,Small,1318.42,75.57,62.55,2305.29,1.77,2173.58,10.975,Medium
Telangana,Warangal,Small,1622.67,62.69,46.21,2714.32,6.74,1794.22,4.402,Low
Telangana,Nizamabad,Medium,2005.41,66.43,61.15,2039.97,4.31,1802.89,11.449,High
Tamil Nadu,Salem,Small,1391.23,62.21,48.76,1073.23,10.33,2231.56,12.295,Medium
Tamil Nadu,Madurai,Small,1740.04,58.98,48.53,1921.62,12.91,2607.94,12.937,Medium
Tamil Nadu,Chennai,Medium,2406.58,53.76,65.15,2399.98,3.02,2385.86,14.705,Medium
Karnataka,Hassan,Large,5066.96,82.12,36.41,1428.61,10.71,2261.27,14.701,Medium
Gujarat,Ahmedabad,Medium,2880.98,74.88,58.35,1285.08,7.74,1787.34,9.613,Medium
Karnataka,Hassan,Small,1606.78,77.9,56.04,1565.68,5.6,1896.6,11.625,Medium
Telangana,Hyderabad,Small,1210.05,66.33,50.88,2388.76,9.09,1819.54,4.715,Low
Telangana,Nizamabad,Medium,2351.45,64.75,53.73,1749.8,5.58,1427.0,8.507,Low
Rajasthan,Makrana,Small,1736.94,72.47,52.41,2119.38,5.07,2042.46,13.938,High
